id,jobid,row,C0_NAME,C1_W,C2_L,C3_PCT,C4_GB,C5_CONF,C6_DIV,C7_HOME,C8_ROAD,C9_L10,C10_STREAK
1330,9f071eef62d24626a90a29c0e672b879,0,Toronto,48,34,0.585,0.0,32-20,11-5,26-15,22-19,7-3,"L 1"
1331,9f071eef62d24626a90a29c0e672b879,1,Brooklyn,44,38,0.537,4.0,26-26,9-7,28-13,16-25,5-5,"L 2"
1332,9f071eef62d24626a90a29c0e672b879,2,"New York",37,45,0.451,11.0,26-26,10-6,19-22,18-23,7-3,"W 4"
1333,9f071eef62d24626a90a29c0e672b879,3,Boston,25,57,0.305,23.0,21-31,5-11,16-25,9-32,2-8,"L 2"
1334,9f071eef62d24626a90a29c0e672b879,4,Philadelphia,19,63,0.232,29.0,14-38,5-11,10-31,9-32,4-6,"W 2"
1335,9f071eef62d24626a90a29c0e672b879,5,Indiana,56,26,0.683,0.0,38-14,12-4,35-6,21-20,4-6,"W 2"
1336,9f071eef62d24626a90a29c0e672b879,6,Chicago,48,34,0.585,8.0,35-17,11-5,27-14,21-20,8-2,"L 1"
1337,9f071eef62d24626a90a29c0e672b879,7,Cleveland,33,49,0.402,23.0,21-31,7-9,19-22,14-27,5-5,"W 1"
1338,9f071eef62d24626a90a29c0e672b879,8,Detroit,29,53,0.354,27.0,23-29,6-10,17-24,12-29,3-7,"L 4"
1339,9f071eef62d24626a90a29c0e672b879,9,Milwaukee,15,67,0.183,41.0,12-40,4-12,10-31,5-36,1-9,"L 3"
1340,9f071eef62d24626a90a29c0e672b879,10,Miami,54,28,0.659,0.0,34-18,12-4,32-9,22-19,4-6,"L 3"
1341,9f071eef62d24626a90a29c0e672b879,11,Washington,44,38,0.537,10.0,33-19,10-6,22-19,22-19,7-3,"W 4"
1342,9f071eef62d24626a90a29c0e672b879,12,Charlotte,43,39,0.524,11.0,30-22,6-10,25-16,18-23,8-2,"W 3"
1343,9f071eef62d24626a90a29c0e672b879,13,Atlanta,38,44,0.463,16.0,28-24,8-8,24-17,14-27,7-3,"W 1"
1344,9f071eef62d24626a90a29c0e672b879,14,Orlando,23,59,0.280,31.0,17-35,4-12,19-22,4-37,3-7,"L 4"
1345,9f071eef62d24626a90a29c0e672b879,15,"Oklahoma City",59,23,0.720,0.0,36-16,11-5,34-7,25-16,6-4,"W 1"
1346,9f071eef62d24626a90a29c0e672b879,16,Portland,54,28,0.659,5.0,31-21,13-3,31-10,23-18,9-1,"W 5"
1347,9f071eef62d24626a90a29c0e672b879,17,Minnesota,40,42,0.488,19.0,23-29,7-9,24-17,16-25,4-6,"L 3"
1348,9f071eef62d24626a90a29c0e672b879,18,Denver,36,46,0.439,23.0,20-32,5-11,22-19,14-27,4-6,"L 2"
1349,9f071eef62d24626a90a29c0e672b879,19,Utah,25,57,0.305,34.0,13-39,4-12,16-25,9-32,2-8,"W 1"
1350,9f071eef62d24626a90a29c0e672b879,20,"L.A. Clippers",57,25,0.695,0.0,36-16,12-4,34-7,23-18,7-3,"L 1"
1351,9f071eef62d24626a90a29c0e672b879,21,"Golden State",51,31,0.622,6.0,31-21,11-5,27-14,24-17,6-4,"W 2"
1352,9f071eef62d24626a90a29c0e672b879,22,Phoenix,48,34,0.585,9.0,28-24,8-8,26-15,22-19,5-5,"W 1"
1353,9f071eef62d24626a90a29c0e672b879,23,Sacramento,28,54,0.341,29.0,15-37,3-13,17-24,11-30,3-7,"L 1"
1354,9f071eef62d24626a90a29c0e672b879,24,"L.A. Lakers",27,55,0.329,30.0,15-37,6-10,14-27,13-28,3-7,"W 2"
1355,9f071eef62d24626a90a29c0e672b879,25,"San Antonio",62,20,0.756,0.0,38-14,12-4,32-9,30-11,6-4,"L 2"
1356,9f071eef62d24626a90a29c0e672b879,26,Houston,54,28,0.659,8.0,31-21,11-5,33-8,21-20,5-5,"L 1"
1357,9f071eef62d24626a90a29c0e672b879,27,Memphis,50,32,0.610,12.0,29-23,4-12,27-14,23-18,7-3,"W 5"
1358,9f071eef62d24626a90a29c0e672b879,28,Dallas,49,33,0.598,13.0,29-23,9-7,26-15,23-18,6-4,"L 1"
1359,9f071eef62d24626a90a29c0e672b879,29,"New Orleans",34,48,0.415,28.0,15-37,4-12,22-19,12-29,2-8,"W 2"
