id,jobid,row,C0_NAME,C1_W,C2_L,C3_PCT,C4_GB,C5_CONF,C6_DIV,C7_HOME,C8_ROAD,C9_L10,C10_STREAK
1330,8039e220a17c4f7da0b8f9ec8227c6c4,0,Toronto,49,33,0.598,0.0,33-19,11-5,27-14,22-19,7-3,"W 1"
1331,8039e220a17c4f7da0b8f9ec8227c6c4,1,Boston,40,42,0.488,9.0,28-24,12-4,21-20,19-22,8-2,"W 6"
1332,8039e220a17c4f7da0b8f9ec8227c6c4,2,Brooklyn,38,44,0.463,11.0,24-28,10-6,19-22,19-22,6-4,"W 1"
1333,8039e220a17c4f7da0b8f9ec8227c6c4,3,Philadelphia,18,64,0.220,31.0,12-40,2-14,12-29,6-35,0-10,"L 10"
1334,8039e220a17c4f7da0b8f9ec8227c6c4,4,"New York",17,65,0.207,32.0,11-41,5-11,10-31,7-34,3-7,"L 1"
1335,8039e220a17c4f7da0b8f9ec8227c6c4,5,Cleveland,53,29,0.646,0.0,35-17,11-5,31-10,22-19,7-3,"W 2"
1336,8039e220a17c4f7da0b8f9ec8227c6c4,6,Chicago,50,32,0.610,3.0,33-19,8-8,27-14,23-18,7-3,"W 4"
1337,8039e220a17c4f7da0b8f9ec8227c6c4,7,Milwaukee,41,41,0.500,12.0,30-22,7-9,23-18,18-23,5-5,"L 1"
1338,8039e220a17c4f7da0b8f9ec8227c6c4,8,Indiana,38,44,0.463,15.0,28-24,8-8,23-18,15-26,7-3,"L 1"
1339,8039e220a17c4f7da0b8f9ec8227c6c4,9,Detroit,32,50,0.390,21.0,23-29,6-10,18-23,14-27,4-6,"W 1"
1340,8039e220a17c4f7da0b8f9ec8227c6c4,10,Atlanta,60,22,0.732,0.0,38-14,12-4,35-6,25-16,5-5,"L 3"
1341,8039e220a17c4f7da0b8f9ec8227c6c4,11,Washington,46,36,0.561,14.0,30-22,10-6,29-12,17-24,6-4,"L 2"
1342,8039e220a17c4f7da0b8f9ec8227c6c4,12,Miami,37,45,0.451,23.0,25-27,6-10,20-21,17-24,4-6,"W 2"
1343,8039e220a17c4f7da0b8f9ec8227c6c4,13,Charlotte,33,49,0.402,27.0,25-27,8-8,19-22,14-27,2-8,"L 6"
1344,8039e220a17c4f7da0b8f9ec8227c6c4,14,Orlando,25,57,0.305,35.0,15-37,4-12,13-28,12-29,3-7,"L 4"
1345,8039e220a17c4f7da0b8f9ec8227c6c4,15,Portland,51,31,0.622,0.0,31-21,11-5,32-9,19-22,4-6,"L 4"
1346,8039e220a17c4f7da0b8f9ec8227c6c4,16,"Oklahoma City",45,37,0.549,6.0,25-27,10-6,29-12,16-25,4-6,"W 2"
1347,8039e220a17c4f7da0b8f9ec8227c6c4,17,Utah,38,44,0.463,13.0,23-29,9-7,21-20,17-24,7-3,"L 1"
1348,8039e220a17c4f7da0b8f9ec8227c6c4,18,Denver,30,52,0.366,21.0,19-33,6-10,19-22,11-30,3-7,"L 2"
1349,8039e220a17c4f7da0b8f9ec8227c6c4,19,Minnesota,16,66,0.195,35.0,7-45,4-12,9-32,7-34,0-10,"L 12"
1350,8039e220a17c4f7da0b8f9ec8227c6c4,20,"Golden State",67,15,0.817,0.0,42-10,13-3,39-2,28-13,8-2,"W 4"
1351,8039e220a17c4f7da0b8f9ec8227c6c4,21,"L.A. Clippers",56,26,0.683,11.0,37-15,12-4,30-11,26-15,9-1,"W 7"
1352,8039e220a17c4f7da0b8f9ec8227c6c4,22,Phoenix,39,43,0.476,28.0,21-31,6-10,22-19,17-24,1-9,"L 5"
1353,8039e220a17c4f7da0b8f9ec8227c6c4,23,Sacramento,29,53,0.354,38.0,18-34,7-9,18-23,11-30,3-7,"W 2"
1354,8039e220a17c4f7da0b8f9ec8227c6c4,24,"L.A. Lakers",21,61,0.256,46.0,9-43,2-14,12-29,9-32,2-8,"L 3"
1355,8039e220a17c4f7da0b8f9ec8227c6c4,25,Houston,56,26,0.683,0.0,33-19,8-8,30-11,26-15,7-3,"W 3"
1356,8039e220a17c4f7da0b8f9ec8227c6c4,26,Memphis,55,27,0.671,1.0,35-17,9-7,31-10,24-17,5-5,"W 1"
1357,8039e220a17c4f7da0b8f9ec8227c6c4,27,"San Antonio",55,27,0.671,1.0,32-20,8-8,33-8,22-19,9-1,"L 1"
1358,8039e220a17c4f7da0b8f9ec8227c6c4,28,Dallas,50,32,0.610,6.0,29-23,7-9,27-14,23-18,5-5,"W 1"
1359,8039e220a17c4f7da0b8f9ec8227c6c4,29,"New Orleans",45,37,0.549,11.0,29-23,8-8,28-13,17-24,7-3,"W 2"
